setting,method,method_label,n,f1_mean,f1_std,fpr_mean,fpr_std,ece_mean,ece_std,brier_mean,brier_std
main,noisy_ce,Noisy-CE,12,0.8721842476496617,0.0319607444000304,0.1821527387055334,0.09764471426404449,0.17841027428706488,0.04784474325433677,0.12178113932410876,0.04088694934122295
main,posterior_ce,Posterior-CE,12,0.8548400868038382,0.03878474640671451,0.22029733793191222,0.12681999369488187,0.2010250681390365,0.05252497827787809,0.14344976159433523,0.037333406944665797
main,cdro_fixed,CDRO-Fixed,12,0.8582869059081462,0.039744720631040696,0.2079910741490854,0.1314648107928487,0.17087136612584194,0.07384532459283917,0.13836743806799254,0.0367007947208995
main,cdro_ug,CDRO-UG (sw0),12,0.8661185996755012,0.031950984519648576,0.1834195454529735,0.11067504633035581,0.19505927649637064,0.05807076996809146,0.13351751553515592,0.03656148863811728
main,cdro_ug_priorcorr,CDRO-UG + PriorCorr,12,0.8670593469844757,0.03580931320092102,0.1719054816625698,0.10215636166337035,0.19346718738476434,0.05762725120622297,0.13265835121273994,0.03641526928082949
batch2,noisy_ce,Noisy-CE,12,0.8875553012739794,0.02949808599402628,0.26951041770181194,0.08047577370380116,0.1714120755592982,0.05317950862275872,0.1180816013365984,0.034811090616793286
batch2,posterior_ce,Posterior-CE,12,0.8831638390882431,0.02696042392622471,0.21859942617917377,0.05303792293597789,0.19746369992693266,0.061059637546206184,0.13506183121353388,0.045386747212796036
batch2,cdro_fixed,CDRO-Fixed,12,0.8880494161052963,0.03019695176511115,0.23681288650731164,0.07318870365933276,0.22252900960544744,0.08364635980473033,0.15449299663305283,0.04039258227877699
batch2,cdro_ug,CDRO-UG (sw0),12,0.8852478331808249,0.026116973653688837,0.22588047862568383,0.05203253552116056,0.18259569257497787,0.0567850125274062,0.13048297384132942,0.045941229112893736
batch2,cdro_ug_priorcorr,CDRO-UG + PriorCorr,12,0.8815451832784676,0.02627804772078219,0.24104010120854005,0.06300918821144619,0.17001192892591158,0.050910175019789304,0.12286198853204648,0.03714397572156185
